Date,Close,High,Low,Open,Volume
2018-01-02,40.26707458496094,40.276426884472016,39.56580192963127,39.77618586634448,102223600
2018-01-03,40.26005935668945,40.802378551359595,40.196947390215975,40.330187330739136,118071600
2018-01-04,40.44707107543945,40.54992497445396,40.22500210267125,40.3325285848356,89738400
2018-01-05,40.90757751464844,40.994066679999236,40.451750935713896,40.542916251500806,94640000
2018-01-08,40.75563430786133,41.05016756597909,40.65745298829791,40.75563430786133,82271200
2018-01-09,40.750953674316406,40.921595685232134,40.53589715868877,40.802380620103136,86336000
2018-01-10,40.74160385131836,40.74394370972359,40.44005816620148,40.47746023211193,95839600
2018-01-11,40.973026275634766,41.02211693438228,40.78835936614299,40.81173298285246,74670800
2018-01-12,41.39613342285156,41.4592489749362,41.05952190087746,41.1834131462071,101672400
2018-01-16,41.18574142456055,41.93376483703263,41.17405283422285,41.58546481936825,118263600
2018-01-17,41.865989685058594,41.901051900072744,40.923946795192215,41.17640187701026,137547200
2018-01-18,41.90338134765625,42.09974042023661,41.6672874824555,41.929094823419305,124773600
2018-01-19,41.716365814208984,41.97817307780297,41.4709197211614,41.75142801313444,129700400
2018-01-22,41.375099182128906,41.55742984232862,41.28159755987305,41.44522718224993,108434400
2018-01-23,41.384437561035156,41.94545785474811,41.33301417846406,41.44521681046371,130756400
2018-01-24,40.72523880004883,41.44521244943131,40.486805111138345,41.43352385908979,204420400
2018-01-25,39.99824905395508,40.89587706717088,39.86266926547092,40.79302318853761,166116000
2018-01-26,40.091758728027344,40.206301219057266,39.75281097181956,40.206301219057266,156572000
2018-01-29,39.26191329956055,39.77617911278078,39.05386925647732,39.77617911278078,202561600
2018-01-30,39.03050231933594,39.124003921961055,38.49987162895176,38.693890842913504,184192800
2018-01-31,39.13801574707031,39.37411310023853,38.92062298841524,39.00711212032881,129915600
2018-02-01,39.21984100341797,39.41619648711814,38.98140730643512,39.07724875688061,188923200
2018-02-02,37.51808547973633,38.99075870726561,37.424583889707215,38.80375196035035,346375200
2018-02-05,36.58071517944336,38.30818309023463,36.466172711856956,37.19082244248908,290954000
2018-02-06,38.109493255615234,38.27078653650845,35.99866285535439,36.19268205071455,272975200
2018-02-07,37.29368591308594,38.19599039124016,37.183823122658545,38.12352610597919,206434400
2018-02-08,36.26747131347656,37.63495398759431,36.23942155748844,37.468984608667135,217562000
2018-02-09,36.711090087890625,37.058460813619604,35.26292594672998,36.865999961496776,282690400
2018-02-12,38.18976593017578,38.46672273816519,36.96926786105699,37.20163266035302,243278000
2018-02-13,38.57234573364258,38.66857795561748,37.94097353876356,38.011387447072025,130196800
2018-02-14,39.283512115478516,39.32341248785229,38.22966380983118,38.26721478410091,162579600
2018-02-15,40.60258865356445,40.626057565112156,39.6660920548011,39.85151185604618,204588800
2018-02-16,40.47114562988281,41.032107382495894,40.31623936113969,40.45471775078253,160704400
2018-02-20,40.33502960205078,40.900679588295006,40.234102152798535,40.38197101922367,135722000
2018-02-21,40.15195083618164,40.86781542185468,40.13786518942926,40.56504027258118,149886400
2018-02-22,40.48758316040039,40.827912853294784,40.302163340873086,40.32328643776861,123967600
2018-02-23,41.19171905517578,41.22692422009872,40.73168460558105,40.762198136114456,135249600
2018-02-26,42.006160736083984,42.10473876856565,41.358360702033096,41.39122004619365,152648800
2018-02-27,41.870018005371094,42.360562232054455,41.81603557762197,42.036664084160634,155712400
2018-02-28,41.80665588378906,42.39343245337469,41.79022800216865,42.074225856264114,151128400
2018-03-01,41.07435607910156,42.19627249006448,40.52513412020834,41.90523004911441,195208000
2018-03-02,41.358360290527344,41.37948338697755,40.47584605945342,40.55799620973738,153816000
2018-03-05,41.501529693603516,41.71746301418378,40.96169460145311,41.12364548723818,113605600
2018-03-06,41.46632766723633,41.83717090219632,41.339585499505745,41.757370145425206,95154000
2018-03-07,41.081390380859375,41.273854765458225,40.9030116386987,41.06026728930069,126814000
2018-03-08,41.529701232910156,41.57194742905669,41.090793481964944,41.187022122543205,95096400
2018-03-09,42.24320983886719,42.24790505333158,41.6353102868023,41.76909703854284,128740800
2018-03-12,42.651615142822266,42.80887083210406,42.29720338770059,42.31597708610445,128828400
2018-03-13,42.240875244140625,43.06940353794993,42.069537475364825,42.855815990569,126774000
2018-03-14,41.88176727294922,42.369965835063375,41.73389842335402,42.3230244232332,117473600
2018-03-15,41.931053161621094,42.30424579003283,41.79492414608478,41.89584799922378,90975200
2018-03-16,41.7831916809082,42.0413712517957,41.68930527034882,41.931056957763644,157618800
2018-03-19,41.14478302001953,41.65410476708609,40.75985764714246,41.618899597561054,133787200
2018-03-20,41.13068389892578,41.49683183577984,41.060270007669395,41.13068389892578,78597600
2018-03-21,40.19888687133789,41.09547953238162,40.196537473159985,41.083743285691064,148219600
2018-03-22,39.630889892578125,40.529828421739076,39.57221223717389,39.900805674877645,165963200
2018-03-23,38.71316909790039,39.88202694835137,38.71316909790039,39.52291999681884,164115200
2018-03-26,40.55094909667969,40.62840402011539,39.06523065201155,39.44781005466082,150164800
2018-03-27,39.51118087768555,41.10955946368787,39.177892261077965,40.764534600998445,163690400
2018-03-28,39.07461929321289,39.905496814461294,38.77184419806612,39.2553474561917,166674000
2018-03-29,39.379737854003906,40.311539072795284,39.17319141314366,39.3867788843606,153594000
2018-04-02,39.12156677246094,39.65201509761951,38.60285827668735,39.11217992291302,150347200
2018-04-03,39.522911071777344,39.607407016668866,38.69907829513425,39.34687815170326,121112000
2018-04-04,40.278690338134766,40.372573155198666,38.673270529102645,38.69908884100521,138422000
2018-04-05,40.55799102783203,40.893625455435775,40.388999115021946,40.50635441106232,107732800
2018-04-06,39.520565032958984,40.48287617510632,39.47831527005165,40.128464520656294,140021200
2018-04-09,39.91255187988281,40.62607077179569,39.865610460128146,39.872651494021305,116070800
